ZIP,city,county,STATE_ME,REGION,sample_year,PFAS water sites,Total households,Median household income,Income_DESC,Total population,Nonwhite,Percent Nonwhite,Nonwhite_DESC,Housing units,latitude,longitude
78362,Ingleside,San Patricio,Texas,South Region,2015,1,3779,64592,"$55,001 - $75,000",11025,6102,55.3,50.1% - 75%,4296,27.8658733,-97.2068558
75060,Irving,Dallas,Texas,South Region,2014,1,14175,59539,"$55,001 - $75,000",49307,39323,79.8,More than 75%,14973,32.8043594,-96.9608383
75766,Jacksonville,Cherokee,Texas,South Region,2015,1,9982,47010,"$35,000 - $55,000",26995,13077,48.4,25.1% - 50%,11388,31.9611073,-95.2508621
75951,Jasper,Jasper,Texas,South Region,2014,1,6089,38975,"$35,000 - $55,000",16154,6460,40,25.1% - 50%,7670,30.9281349,-94.0303726
76058,Joshua,Johnson,Texas,South Region,2015,1,6917,57874,"$55,001 - $75,000",21037,5156,24.5,10% - 25%,7600,32.4691086,-97.4179916
77492,Katy,Harris,Texas,South Region,2014,1,,,,,,,,,29.9834518,-95.6541214
76244,Keller,Tarrant,Texas,South Region,2014,1,24890,108595,"More than $75,000",78815,29858,37.9,25.1% - 50%,26447,32.9301262,-97.2805481
75143,Kemp,Kaufman,Texas,South Region,2014,1,5340,51913,"$35,000 - $55,000",14336,2648,18.5,10% - 25%,7384,32.3705711,-96.2333221
76539,Kempner,Lampasas,Texas,South Region,2014,1,3106,71738,"$55,001 - $75,000",8824,2628,29.8,25.1% - 50%,3612,31.0785465,-97.9857483
78028,Kerrville,Kerr,Texas,South Region,2014,1,16597,55776,"$55,001 - $75,000",40058,12592,31.4,25.1% - 50%,18184,30.0438518,-99.1484299
75662,Kilgore,Gregg,Texas,South Region,2015,1,8723,60318,"$55,001 - $75,000",26318,9263,35.2,25.1% - 50%,9898,32.3891869,-94.8729477
76541,Killeen,Bell,Texas,South Region,2013,1,7766,31515,"Less than $35,000",18396,11525,62.6,50.1% - 75%,10029,31.1158543,-97.7302093
78364,Kingsville,Kleberg,Texas,South Region,2015,1,,,,,,,,,27.5166512,-97.8676529
78640,Kyle,Hays,Texas,South Region,2014,1,19246,74414,"$55,001 - $75,000",61991,39802,64.2,50.1% - 75%,20048,29.9976959,-97.8450241
78640,Kyle,Hays,Texas,South Region,2015,1,19246,74414,"$55,001 - $75,000",61991,39802,64.2,50.1% - 75%,20048,29.9976959,-97.8450241
77568,La Marque,Galveston,Texas,South Region,2015,1,6468,50532,"$35,000 - $55,000",16676,10573,63.4,50.1% - 75%,7403,29.3736801,-94.9969253
77571,La Porte,Harris,Texas,South Region,2015,1,13195,77709,"More than $75,000",37699,17557,46.6,25.1% - 50%,13987,29.655899,-95.0490875
78121,La Vernia,Wilson,Texas,South Region,2014,1,4207,101649,"More than $75,000",12901,3590,27.8,25.1% - 50%,4584,29.3386936,-98.1093216
75065,Lake Dallas,Denton,Texas,South Region,2015,1,4655,80020,"More than $75,000",13026,4685,36,25.1% - 50%,4757,33.1211586,-97.0301437
77566,Lake Jackson,Brazoria,Texas,South Region,2015,1,10865,83709,"More than $75,000",29362,10827,36.9,25.1% - 50%,11684,29.041729,-95.4503937
75146,Lancaster,Dallas,Texas,South Region,2015,1,7089,65513,"$55,001 - $75,000",20663,18168,87.9,More than 75%,7641,32.590889,-96.7651672
78040,Laredo,Webb,Texas,South Region,2014,1,11581,27319,"Less than $35,000",39997,39436,98.6,More than 75%,13691,27.5138206,-99.5007019
77573,League City,Galveston,Texas,South Region,2015,1,31934,111011,"More than $75,000",91454,31557,34.5,25.1% - 50%,33086,29.5001831,-95.0807114
77573,League City,Galveston,Texas,South Region,2019,1,31934,111011,"More than $75,000",91454,31557,34.5,25.1% - 50%,33086,29.5001831,-95.0807114
78646,Leander,Williamson,Texas,South Region,2014,1,,,,,,,,,30.5687733,-97.848732
79336,Levelland,Hockley,Texas,South Region,2015,1,6015,45956,"$35,000 - $55,000",16827,9644,57.3,50.1% - 75%,6979,33.585247,-102.3743057
75029,Lewisville,Denton,Texas,South Region,2015,1,,,,,,,,,33.0451813,-97.0221252
75077,Lewisville,Denton,Texas,South Region,2015,1,12871,115313,"More than $75,000",38764,11485,29.6,25.1% - 50%,13265,33.0733147,-97.0579071
75068,Little Elm,Denton,Texas,South Region,2015,1,21753,103863,"More than $75,000",69656,35128,50.4,50.1% - 75%,22386,33.176815,-96.9512253
77351,Livingston,Polk,Texas,South Region,2013,1,12128,50207,"$35,000 - $55,000",34367,9797,28.5,25.1% - 50%,17567,30.7037296,-94.9214096
77351,Livingston,Polk,Texas,South Region,2015,1,12128,50207,"$35,000 - $55,000",34367,9797,28.5,25.1% - 50%,17567,30.7037296,-94.9214096
78644,Lockhart,Caldwell,Texas,South Region,2014,1,5836,62811,"$55,001 - $75,000",17675,10414,58.9,50.1% - 75%,6503,29.8778706,-97.6668243
75606,Longview,Gregg,Texas,South Region,2014,1,,,,,,,,,32.4957275,-94.7377701
75607,Longview,Gregg,Texas,South Region,2014,1,,,,,,,,,32.46278,-94.7312393
79408,Lubbock,Lubbock,Texas,South Region,2015,1,,,,,,,,,33.5925179,-101.8490372
79416,Lubbock,Lubbock,Texas,South Region,2018,1,13294,58701,"$55,001 - $75,000",34628,17410,50.3,50.1% - 75%,14906,33.5952225,-101.9441376
75902,Lufkin,Angeli,Texas,South Region,2013,1,,,,,,,,,31.3090858,-94.7423401
77657,Lumberton,Hardin,Texas,South Region,2015,1,7871,77408,"More than $75,000",21323,1599,7.5,Less than 10%,8674,30.2449188,-94.2072296
78052,Lytle,Atascosa,Texas,South Region,2015,1,1854,55944,"$55,001 - $75,000",6128,4052,66.1,50.1% - 75%,2119,29.2358475,-98.7899246
75147,Mabank,Van Zandt,Texas,South Region,2013,1,2396,44474,"$35,000 - $55,000",6951,1203,17.3,10% - 25%,2772,32.3864784,-96.0816269
75147,Mabank,Van Zandt,Texas,South Region,2015,1,2396,44474,"$35,000 - $55,000",6951,1203,17.3,10% - 25%,2772,32.3864784,-96.0816269
77355,Magnolia,Montgomery,Texas,South Region,2018,1,10138,93185,"More than $75,000",31201,7533,24.1,10% - 25%,10717,30.1657829,-95.7528
76063,Mansfield,Tarrant,Texas,South Region,2015,1,24595,99144,"More than $75,000",76609,34624,45.2,25.1% - 50%,25773,32.5722237,-97.1331558
78124,Marion,Guadalupe,Texas,South Region,2013,1,2294,73724,"$55,001 - $75,000",6553,3223,49.2,25.1% - 50%,2360,29.5712013,-98.1453781
75671,Marshall,Harrison,Texas,South Region,2013,1,,,,,,,,,32.5415344,-94.3662186
75671,Marshall,Harrison,Texas,South Region,2014,1,,,,,,,,,32.5415344,-94.3662186
78505,McAllen,Hidalgo,Texas,South Region,2015,1,,,,,,,,,26.2000294,-98.232872
76657,McGregor,McLenn,Texas,South Region,2013,1,3784,80769,"More than $75,000",11151,3727,33.4,25.1% - 50%,4156,31.4423676,-97.3958435
75070,Mckinney,Collin,Texas,South Region,2015,1,37715,108939,"More than $75,000",109085,41600,38.1,25.1% - 50%,39685,33.1593323,-96.689827
79245,Memphis,Hall,Texas,South Region,2014,1,941,41576,"$35,000 - $55,000",2339,1068,45.7,25.1% - 50%,1272,34.7184105,-100.538414
78570,Mercedes,Hidalgo,Texas,South Region,2014,1,8732,35382,"$35,000 - $55,000",32841,31457,95.8,More than 75%,10490,26.1727848,-97.9104004
76859,Merd,Merd,Texas,South Region,2014,1,951,43068,"$35,000 - $55,000",1787,803,44.9,25.1% - 50%,1603,30.9039307,-99.7913971
75181,Mesquite,Dallas,Texas,South Region,2015,1,7431,88990,"More than $75,000",25264,19724,78.1,More than 75%,7714,32.7396774,-96.5595169
75185,Mesquite,Dallas,Texas,South Region,2015,1,,,,,,,,,32.7756424,-96.5977554
79702,Midland,Midland,Texas,South Region,2015,1,,,,,,,,,31.9975109,-102.0742874
76065,Midlothian,Ellis,Texas,South Region,2013,1,12749,96778,"More than $75,000",38800,10073,26,25.1% - 50%,13388,32.4750748,-96.9786529
76065,Midlothian,Ellis,Texas,South Region,2014,1,12749,96778,"More than $75,000",38800,10073,26,25.1% - 50%,13388,32.4750748,-96.9786529
76065,Midlothian,Ellis,Texas,South Region,2015,1,12749,96778,"More than $75,000",38800,10073,26,25.1% - 50%,13388,32.4750748,-96.9786529
76068,Mineral Wells,Palo Pinto,Texas,South Region,2014,1,,,,,,,,,32.8081055,-98.1137848
78572,Mission,Hidalgo,Texas,South Region,2015,1,24758,45274,"$35,000 - $55,000",80135,71522,89.3,More than 75%,30707,26.2146454,-98.3422241
78573,Mission,Hidalgo,Texas,South Region,2013,1,10650,38774,"$35,000 - $55,000",41336,40249,97.4,More than 75%,11660,26.2826405,-98.3113174
78573,Mission,Hidalgo,Texas,South Region,2014,1,10650,38774,"$35,000 - $55,000",41336,40249,97.4,More than 75%,11660,26.2826405,-98.3113174
77459,Missouri City,Fort Bend,Texas,South Region,2013,1,23823,118130,"More than $75,000",76662,46859,61.1,50.1% - 75%,24781,29.5395203,-95.5361404
76251,Montague,Montague,Texas,South Region,2013,1,278,53750,"$35,000 - $55,000",763,68,8.9,Less than 10%,343,33.6636429,-97.7185593
75455,Mount Pleasant,Titus,Texas,South Region,2015,2,9384,53246,"$35,000 - $55,000",27700,15680,56.6,50.1% - 75%,10528,33.1807747,-94.9766922
77627,Nederland,Jefferson,Texas,South Region,2014,1,8426,77933,"More than $75,000",20969,3374,16.1,10% - 25%,9530,29.9739361,-94.0007401
77870,New Baden,Robertson,Texas,South Region,2014,1,,,,,,,,,31.0520859,-96.4312134
78130,New Braunfels,Guadalupe,Texas,South Region,2015,1,29297,66574,"$55,001 - $75,000",79786,32991,41.3,25.1% - 50%,32360,29.6959496,-98.1011658
77358,New Waverly,Walker,Texas,South Region,2015,1,1745,64516,"$55,001 - $75,000",5345,1132,21.2,10% - 25%,2486,30.5482006,-95.4047317
76255,Noco,Montague,Texas,South Region,2015,1,2171,44725,"$35,000 - $55,000",5477,947,17.3,10% - 25%,2883,33.8001099,-97.7183151
76180,North Richland Hills,Tarrant,Texas,South Region,2014,1,15102,62595,"$55,001 - $75,000",37117,13780,37.1,25.1% - 50%,16085,32.8418426,-97.216713
79760,Odessa,Ector,Texas,South Region,2014,1,,,,,,,,,31.8463554,-102.3666534
77631,Orange,Orange,Texas,South Region,2015,1,,,,,,,,,30.0938053,-93.7332764
75801,Palestine,Anderson,Texas,South Region,2015,1,6049,41335,"$35,000 - $55,000",15808,8099,51.2,50.1% - 75%,7091,31.7357235,-95.6134262
79066,Pampa,Gray,Texas,South Region,2015,1,,,,,,,,,35.536129,-100.960762
75460,Paris,Lamar,Texas,South Region,2014,1,10067,36539,"$35,000 - $55,000",23926,9183,38.4,25.1% - 50%,11420,33.663311,-95.5597458
75461,Paris,Lamar,Texas,South Region,2014,1,,,,,,,,,33.6605568,-95.5513611
77501,Pasade,Harris,Texas,South Region,2014,1,,,,,,,,,29.6906509,-95.2004089
77581,Pearland,Brazoria,Texas,South Region,2015,1,16912,95273,"More than $75,000",50737,24980,49.2,25.1% - 50%,18125,29.5622025,-95.2777634
78660,Pflugerville,Travis,Texas,South Region,2013,2,33953,93819,"More than $75,000",101937,62784,61.6,50.1% - 75%,35385,30.4444389,-97.6138534
78660,Pflugerville,Travis,Texas,South Region,2015,1,33953,93819,"More than $75,000",101937,62784,61.6,50.1% - 75%,35385,30.4444389,-97.6138534
78660,Pflugerville,Travis,Texas,South Region,2016,1,33953,93819,"More than $75,000",101937,62784,61.6,50.1% - 75%,35385,30.4444389,-97.6138534
78691,Pflugerville,Travis,Texas,South Region,2015,1,,,,,,,,,30.4448414,-97.6397476
78577,Pharr,Hidalgo,Texas,South Region,2013,1,22690,40463,"$35,000 - $55,000",78731,74795,95,More than 75%,25829,26.183506,-98.1898651
79072,Plainview,Hale,Texas,South Region,2014,1,8264,47961,"$35,000 - $55,000",26404,18380,69.6,50.1% - 75%,10224,34.1995621,-101.7192612
75074,Plano,Collin,Texas,South Region,2015,1,18574,70345,"$55,001 - $75,000",53459,33485,62.6,50.1% - 75%,19528,33.0279732,-96.6796722
75094,Plano,Collin,Texas,South Region,2015,1,6309,140257,"More than $75,000",23408,12627,53.9,50.1% - 75%,6372,33.0165787,-96.6238556
78064,Pleasanton,Atascosa,Texas,South Region,2013,1,5109,66179,"$55,001 - $75,000",16722,9325,55.8,50.1% - 75%,5875,28.9757023,-98.4763184
77641,Port Arthur,Jefferson,Texas,South Region,2014,1,,,,,,,,,29.8688488,-93.9337463
77650,Port Bolivar,Galveston,Texas,South Region,2014,1,986,57429,"$55,001 - $75,000",1930,577,29.9,25.1% - 50%,2739,29.3887081,-94.7527313
78578,Port Isabel,Cameron,Texas,South Region,2014,1,4206,35662,"$35,000 - $55,000",11509,8341,72.5,50.1% - 75%,6955,26.0774517,-97.2274551
77979,Port Lavaca,Calhoun,Texas,South Region,2014,1,6428,58057,"$55,001 - $75,000",17295,11141,64.4,50.1% - 75%,8274,28.6067619,-96.6259842
77651,Port Neches,Jefferson,Texas,South Region,2015,1,4707,75164,"More than $75,000",12729,2356,18.5,10% - 25%,5178,29.980484,-93.9592819
77365,Porter,Montgomery,Texas,South Region,2013,1,11263,77414,"More than $75,000",34286,14711,42.9,25.1% - 50%,12388,30.1035557,-95.2514801
78374,Portland,San Patricio,Texas,South Region,2013,1,6201,76398,"More than $75,000",17972,8195,45.6,25.1% - 50%,7314,27.8860741,-97.3227539
79356,Post,Garza,Texas,South Region,2015,1,1669,52917,"$35,000 - $55,000",5931,3645,61.5,50.1% - 75%,1893,33.2259483,-101.408638
78579,Progreso,Hidalgo,Texas,South Region,2015,1,1232,53393,"$35,000 - $55,000",5562,5559,99.9,More than 75%,1438,26.0907517,-97.9603424
75154,Red Oak,Ellis,Texas,South Region,2014,1,13504,81323,"More than $75,000",42192,24080,57.1,50.1% - 75%,14153,32.5300179,-96.8198547
75154,Red Oak,Ellis,Texas,South Region,2015,2,13504,81323,"More than $75,000",42192,24080,57.1,50.1% - 75%,14153,32.5300179,-96.8198547
75083,Richardson,Dallas,Texas,South Region,2015,1,,,,,,,,,32.9559135,-96.7687836
77469,Richmond,Fort Bend,Texas,South Region,2015,1,19102,85401,"More than $75,000",57011,39175,68.7,50.1% - 75%,19870,29.5379677,-95.7427063
78582,Rio Grande City,Starr,Texas,South Region,2016,1,10957,35441,"$35,000 - $55,000",44047,43445,98.6,More than 75%,13031,26.3728123,-98.7950439
78583,Rio Hondo,Cameron,Texas,South Region,2014,1,2259,40299,"$35,000 - $55,000",6915,5670,82,More than 75%,3419,26.2443047,-97.5387192
76262,Roanoke,Denton,Texas,South Region,2014,1,14732,116663,"More than $75,000",41158,10844,26.3,25.1% - 50%,15361,32.9984512,-97.222168
78380,Robstown,Nueces,Texas,South Region,2015,1,8124,51061,"$35,000 - $55,000",23610,18349,77.7,More than 75%,9189,27.8039875,-97.6806259
78382,Rockport,Aransas,Texas,South Region,2015,1,8033,53674,"$35,000 - $55,000",19313,6094,31.6,25.1% - 50%,13444,28.03619,-97.0598526
75087,Rockwall,Rockwall,Texas,South Region,2014,1,12963,105238,"More than $75,000",36718,9195,25,10% - 25%,13326,32.937191,-96.4467316
78584,Roma,Starr,Texas,South Region,2015,1,4802,23936,"Less than $35,000",18286,18269,99.9,More than 75%,5993,26.4091911,-98.998703
77471,Rosenberg,Fort Bend,Texas,South Region,2015,1,12653,55333,"$55,001 - $75,000",38430,30073,78.3,More than 75%,14102,29.5433388,-95.8127899
78664,Round Rock,Williamson,Texas,South Region,2014,1,21034,77679,"More than $75,000",63661,36109,56.7,50.1% - 75%,22666,30.508276,-97.6554337
78681,Round Rock,Williamson,Texas,South Region,2015,1,18018,109246,"More than $75,000",58983,24329,41.2,25.1% - 50%,18743,30.513895,-97.7168732
75088,Rowlett,Dallas,Texas,South Region,2013,1,9308,94946,"More than $75,000",26823,10849,40.4,25.1% - 50%,9640,32.8964882,-96.5536575
75189,Royse City,Rockwall,Texas,South Region,2014,1,10067,96938,"More than $75,000",30842,9757,31.6,25.1% - 50%,10439,32.9497566,-96.3312225
75785,Rusk,Cherokee,Texas,South Region,2014,1,3382,50899,"$35,000 - $55,000",10931,3800,34.8,25.1% - 50%,3926,31.7934914,-95.1605759
75048,Sachse,Dallas,Texas,South Region,2014,1,8815,108258,"More than $75,000",26062,12164,46.7,25.1% - 50%,9024,32.9761963,-96.5859146
76903,San Angelo,Tom Green,Texas,South Region,2014,1,11403,40518,"$35,000 - $55,000",31429,19949,63.5,50.1% - 75%,13661,31.4729614,-100.4407883
78209,San Antonio,Bexar,Texas,South Region,2016,1,18787,75484,"More than $75,000",44706,16871,37.7,25.1% - 50%,21436,29.4904156,-98.4567337
78211,San Antonio,Bexar,Texas,South Region,2014,1,9074,41695,"$35,000 - $55,000",34539,32809,95,More than 75%,10080,29.3555622,-98.5577316
78212,San Antonio,Bexar,Texas,South Region,2014,1,10939,49305,"$35,000 - $55,000",27940,19718,70.6,50.1% - 75%,12706,29.4558258,-98.4953766
78212,San Antonio,Bexar,Texas,South Region,2015,3,10939,49305,"$35,000 - $55,000",27940,19718,70.6,50.1% - 75%,12706,29.4558258,-98.4953766
78227,San Antonio,Bexar,Texas,South Region,2013,1,14401,40282,"$35,000 - $55,000",49326,44209,89.6,More than 75%,15446,29.409811,-98.6384277
78227,San Antonio,Bexar,Texas,South Region,2014,2,14401,40282,"$35,000 - $55,000",49326,44209,89.6,More than 75%,15446,29.409811,-98.6384277
78227,San Antonio,Bexar,Texas,South Region,2015,1,14401,40282,"$35,000 - $55,000",49326,44209,89.6,More than 75%,15446,29.409811,-98.6384277
78227,San Antonio,Bexar,Texas,South Region,2017,1,14401,40282,"$35,000 - $55,000",49326,44209,89.6,More than 75%,15446,29.409811,-98.6384277
78245,San Antonio,Bexar,Texas,South Region,2014,1,21283,72564,"$55,001 - $75,000",76392,61238,80.2,More than 75%,22634,29.4104614,-98.7117538
78266,San Antonio,Comal,Texas,South Region,2015,1,2501,124131,"More than $75,000",6592,2920,44.3,25.1% - 50%,2603,29.6354275,-98.3200073
78298,San Antonio,Bexar,Texas,South Region,2014,1,,,,,,,,,29.426506,-98.4864426
78586,San Benito,Cameron,Texas,South Region,2014,1,16556,35951,"$35,000 - $55,000",59360,56276,94.8,More than 75%,19208,26.1224346,-97.6362457
78589,San Juan,Hidalgo,Texas,South Region,2014,1,11123,42381,"$35,000 - $55,000",41112,40116,97.6,More than 75%,12161,26.2030067,-98.1534042
78666,San Marcos,Hays,Texas,South Region,2013,1,29205,45660,"$35,000 - $55,000",81844,44762,54.7,50.1% - 75%,31555,29.8753624,-97.9512482
78666,San Marcos,Hays,Texas,South Region,2015,2,29205,45660,"$35,000 - $55,000",81844,44762,54.7,50.1% - 75%,31555,29.8753624,-97.9512482
78383,Sandia,Live Oak,Texas,South Region,2023,1,1980,61291,"$55,001 - $75,000",6079,3140,51.7,50.1% - 75%,2987,28.076252,-97.9187698
77510,Santa Fe,Galveston,Texas,South Region,2015,1,5422,82653,"More than $75,000",15223,3438,22.6,10% - 25%,6226,29.3705196,-95.0894852
78154,Schertz,Bexar,Texas,South Region,2015,1,14681,83042,"More than $75,000",41171,20787,50.5,50.1% - 75%,15326,29.5637264,-98.27211
77586,Seabrook,Harris,Texas,South Region,2015,1,8869,96229,"More than $75,000",23003,6295,27.4,25.1% - 50%,9728,29.5724544,-95.0417252
75159,Seagoville,Dallas,Texas,South Region,2015,1,5553,63297,"$55,001 - $75,000",20857,12696,60.9,50.1% - 75%,6232,32.6431999,-96.5570374
78156,Seguin,Guadalupe,Texas,South Region,2013,1,,,,,,,,,29.5687981,-97.970108
78156,Seguin,Guadalupe,Texas,South Region,2015,1,,,,,,,,,29.5687981,-97.970108
76311,Sheppard Afb,Wichita,Texas,South Region,2015,1,618,72931,"$55,001 - $75,000",8760,3532,40.3,25.1% - 50%,644,33.973774,-98.5083618
75091,Sherman,Grayson,Texas,South Region,2015,1,,,,,,,,,33.6593781,-96.6079407
79550,Snyder,Scurry,Texas,South Region,2015,1,,,,,,,,,32.7196045,-100.9171677
77879,Somerville,Burleson,Texas,South Region,2015,1,2042,60000,"$55,001 - $75,000",5357,1883,35.2,25.1% - 50%,3156,30.3614101,-96.5461731
76092,Southlake,Tarrant,Texas,South Region,2014,1,9388,224265,"More than $75,000",31837,9197,28.9,25.1% - 50%,9728,32.9535027,-97.148346
77372,Splendora,Montgomery,Texas,South Region,2015,1,4504,64180,"$55,001 - $75,000",15484,4694,30.3,25.1% - 50%,5150,30.2307873,-95.1500015
77380,Spring,Montgomery,Texas,South Region,2013,3,13454,73013,"$55,001 - $75,000",28014,10453,37.3,25.1% - 50%,15015,30.1407929,-95.4656906
76082,Springtown,Parker,Texas,South Region,2014,1,6258,73056,"$55,001 - $75,000",21151,3751,17.7,10% - 25%,7190,32.9593773,-97.7121048
77477,Stafford,Fort Bend,Texas,South Region,2014,1,12951,61103,"$55,001 - $75,000",35496,28586,80.5,More than 75%,13724,29.6289272,-95.5649109
79553,Stamford,Jones,Texas,South Region,2015,1,1402,46862,"$35,000 - $55,000",3127,1526,48.8,25.1% - 50%,1718,32.9338226,-99.8031616
76401,Stephenville,Erath,Texas,South Region,2014,1,10557,52961,"$35,000 - $55,000",29904,6254,20.9,10% - 25%,13430,32.2293587,-98.2081223
77487,Sugar Land,Fort Bend,Texas,South Region,2013,1,,,,,,,,,29.6173592,-95.6367416
75482,Sulphur Springs,Hopkins,Texas,South Region,2014,1,9336,53287,"$35,000 - $55,000",25108,7358,29.3,25.1% - 50%,10591,33.1358719,-95.596405
79556,Sweetwater,Nolan,Texas,South Region,2015,1,4620,42956,"$35,000 - $55,000",12683,5783,45.6,25.1% - 50%,5885,32.467926,-100.402504
76574,Taylor,Williamson,Texas,South Region,2015,1,6571,58631,"$55,001 - $75,000",19328,10293,53.3,50.1% - 75%,7089,30.577486,-97.4059677
75860,Teague,Freestone,Texas,South Region,2015,1,1698,56296,"$55,001 - $75,000",6351,2887,45.5,25.1% - 50%,2467,31.6230354,-96.2714996
76501,Temple,Bell,Texas,South Region,2013,1,6342,45846,"$35,000 - $55,000",16922,9801,57.9,50.1% - 75%,6980,31.0991287,-97.3154831
75160,Terrell,Kaufman,Texas,South Region,2015,1,7941,57740,"$55,001 - $75,000",24494,12626,51.5,50.1% - 75%,8554,32.748455,-96.2935562
75501,Texarka,Bowie,Texas,South Region,2014,1,13062,40333,"$35,000 - $55,000",35352,16503,46.7,25.1% - 50%,15319,33.4045448,-94.0904617
75504,Texarka,Bowie,Texas,South Region,2013,1,,,,,,,,,33.4388313,-94.0803604
77592,Texas City,Galveston,Texas,South Region,2013,1,,,,,,,,,29.3952618,-94.9236221
75056,The Colony,Denton,Texas,South Region,2015,1,22310,93382,"More than $75,000",59674,29315,49.1,25.1% - 50%,23763,33.0737915,-96.8861466
78071,Three Rivers,Live Oak,Texas,South Region,2015,1,1021,45042,"$35,000 - $55,000",4394,2617,59.6,50.1% - 75%,1566,28.481493,-98.1577148
79563,Tye,Taylor,Texas,South Region,2018,1,378,49500,"$35,000 - $55,000",1013,339,33.5,25.1% - 50%,456,32.4418068,-99.8716049
75707,Tyler,Smith,Texas,South Region,2013,2,5118,70174,"$55,001 - $75,000",13206,3422,25.9,25.1% - 50%,6001,32.3152084,-95.1956482
75710,Tyler,Smith,Texas,South Region,2014,1,,,,,,,,,32.368679,-95.325592
78148,Universal City,Bexar,Texas,South Region,2015,1,7817,64457,"$55,001 - $75,000",22955,12527,54.6,50.1% - 75%,8168,29.5512791,-98.3009033
78148,Universal City,Bexar,Texas,South Region,2017,1,7817,64457,"$55,001 - $75,000",22955,12527,54.6,50.1% - 75%,8168,29.5512791,-98.3009033
78802,Uvalde,Uvalde,Texas,South Region,2015,1,60,,,226,226,100,More than 75%,77,29.2089462,-99.7859421
77868,vasota,Grimes,Texas,South Region,2015,1,5133,54460,"$35,000 - $55,000",18344,10194,55.6,50.1% - 75%,5930,30.3766041,-96.0480957
76384,Vernon,Wilbarger,Texas,South Region,2015,1,4755,44719,"$35,000 - $55,000",12112,5397,44.6,25.1% - 50%,5933,34.1503677,-99.3066635
77902,Victoria,Victoria,Texas,South Region,2014,1,,,,,,,,,28.7972126,-97.0069122
77662,Vidor,Orange,Texas,South Region,2014,1,10343,60654,"$55,001 - $75,000",27587,3021,11,10% - 25%,12339,30.1467819,-94.0041199
76702,Waco,McLenn,Texas,South Region,2015,1,,,,,,,,,31.5180569,-97.2038422
76705,Waco,McLenn,Texas,South Region,2014,1,11050,43521,"$35,000 - $55,000",31868,16538,51.9,50.1% - 75%,12452,31.6182194,-97.1058731
76706,Waco,McLenn,Texas,South Region,2014,1,13488,33321,"Less than $35,000",39667,19693,49.6,25.1% - 50%,15505,31.5055294,-97.1268463
75168,Waxahachie,Ellis,Texas,South Region,2015,1,,,,,,,,,32.388443,-96.8456573
76086,Weatherford,Parker,Texas,South Region,2014,1,8314,57762,"$55,001 - $75,000",23161,6204,26.8,25.1% - 50%,9080,32.7516098,-97.7923584
78596,Weslaco,Hidalgo,Texas,South Region,2015,2,19053,45881,"$35,000 - $55,000",68984,64161,93,More than 75%,24181,26.1381931,-97.9822235
77486,West Columbia,Brazoria,Texas,South Region,2015,1,2779,76635,"More than $75,000",7509,2729,36.3,25.1% - 50%,3135,29.147192,-95.6532364
77488,Wharton,Wharton,Texas,South Region,2015,1,5276,48436,"$35,000 - $55,000",14832,9205,62.1,50.1% - 75%,6254,29.3148422,-96.0824738
75693,White Oak,Gregg,Texas,South Region,2013,1,2249,65819,"$55,001 - $75,000",6863,1900,27.7,25.1% - 50%,2510,32.5390968,-94.856926
75791,Whitehouse,Smith,Texas,South Region,2014,1,4649,68539,"$55,001 - $75,000",13952,3161,22.7,10% - 25%,5137,32.2285843,-95.2293854
76305,Wichita Falls,Clay,Texas,South Region,2018,1,1685,66070,"$55,001 - $75,000",4285,718,16.8,10% - 25%,2063,33.9861374,-98.4403305
76307,Wichita Falls,Wichita,Texas,South Region,2015,1,,,,,,,,,33.9092331,-98.491539
75169,Wills Point,Van Zandt,Texas,South Region,2014,1,5110,49685,"$35,000 - $55,000",12937,2573,19.9,10% - 25%,6082,32.7114182,-95.999321
75098,Wylie,Collin,Texas,South Region,2015,1,18172,99224,"More than $75,000",58717,25205,42.9,25.1% - 50%,18915,33.0215569,-96.5434647
78076,Zapata,Zapata,Texas,South Region,2013,1,4377,32560,"Less than $35,000",13279,12706,95.7,More than 75%,5864,26.8902531,-99.2629547
78076,Zapata,Zapata,Texas,South Region,2015,1,4377,32560,"Less than $35,000",13279,12706,95.7,More than 75%,5864,26.8902531,-99.2629547